location,source,target
0x16aac20@mhfdat-jp.bin,"体毛は白く、外見はネコに似ている。
性格は温和だが危害を加えようもの
なら執拗に反撃してくる。
人語をある程度理解するため
人間と共に生活する姿も
よく見ることができる。
適応力が高く、季節や場所を問わず、
見かけることができる。",
0x16aac24@mhfdat-jp.bin,"ネコに似た獣人族。黒毛が特徴。
手癖が悪く人間などから物を盗み、
自分達の集落に持ち帰ってしまう。
集落に戻る前に倒すか、集落を探せば
盗まれた物を取り戻せる事もあるとか。
マタタビを見ると盗まずにはいられ
ない。
適応力が高く、季節や場所を問わず、
見かけることができる。",
0x16aac28@mhfdat-jp.bin,"小型の獣人族が花畑で確認された。
調査によると彼らは温厚な性格で、
普段は釣りや採集をしているが、
他のモンスターとの縄張り争いが
頻繁に目撃されている。また、
大型モンスターと遭遇したところに
彼らが現れ”共に戦った”との報告も
あることから、我々のことを同じ
仲間と思っているのかもしれない…。",
0x16aac2c@mhfdat-jp.bin,"人に似た四肢を持ち、常にマスクを
かぶっている小型のモンスター。
擬態が大の得意。
熟練したハンターであっても、
擬態した彼らを見つけることは
至難の業である。
ひときわ強い族長は、
≪キングチャチャブー≫と呼ばれ、
王冠のようなものをつけている。",
0x16aac30@mhfdat-jp.bin,"突然変異で巨大化した蜂の様な虫。
腹部に、マヒ性の毒針を持つ。
物理的なダメージに弱く、
素材としての形状を保ったまま、
しとめることは難しい。
主に昼間に活動し、温暖期には特に
大きな個体も目撃されている。",
0x16aac34@mhfdat-jp.bin,"ランゴスタに比べ外殻が発達した虫。
物理的なダメージに弱いため、
素材としての形状を保ったまま
しとめるには、徐々に体力を奪う
種類の攻撃を用意する必要がある。
夜間や洞窟など暗い場所を好み、
温暖期には大きな個体も目撃されて
いる。",
0x16aac38@mhfdat-jp.bin,"衝撃が加わると放電するという雷光虫。
武器の素材や生活用品などに幅広く
用いられ馴染みが深いが、
その雷光虫が、古龍の体内で異常な
巨大化を遂げたもの。
放電能力が高く、非常に危険。
古龍の生息地域で、まれに見る事が
できる。",
0x16aac3c@mhfdat-jp.bin,"シカのような草食モンスター。
臆病ですぐ逃げてしまうため、
その角は貴重である。
食用として狩られる事も多く、固く
しまった肉質は癖になる歯ごたえ。
特に繁殖期に多くの個体が見られ、
昼は野外で採食し、夜は洞窟など
屋内に移動する。",
0x16aac40@mhfdat-jp.bin,"名の由来通り、体にはコケやキノコ
などの菌類が繁殖しているブタ。
大好物のキノコを探して徘徊し、彼ら
が鼻を鳴らしてる場所ではキノコが
採れる可能性が高いとも言われる。
怒らせると突進してくるので注意。
キノコが採れる地域であれば、
ほとんどの地域に生息しているようだ。",
0x16aac44@mhfdat-jp.bin,"雪山に生息する草食モンスター。
巨大な角を持ち、普段はおとなしいが
危害を加えられると、その角を
振り立てて攻撃してくる。
良質な毛皮は、利用価値が高く、
巨大な角は、ギルドでも珍重される。
雪山であれば、季節を問わず
見ることができるだろう。",
