location,source,target
0x13cce0@mhfpac.bin,"た、助けに来てくれたのですかニャ！？
ありがとうですニャ。これはお礼ニャ。
どうか受け取って欲しいですニャ！",
0x13ccec@mhfpac.bin,"次は迷っても大丈夫なように、
多めに食べ物を持ってくるニャ。",
0x13ccf8@mhfpac.bin,--,
0x13cd04@mhfpac.bin,"オイラを助けに…？
失礼な！オイラは別に迷ってないニャ！
一応お礼は渡すニャ。でも、オイラは絶対迷ってたんじゃないからニャ！",
0x13cd10@mhfpac.bin,"迷ってなんか、ないニャ！
出口の場所はだいたい分かってるのニャ！",
0x13cd1c@mhfpac.bin,--,
0x13cd28@mhfpac.bin,"おや？お迎えかニャ？
調査に集中していたらだいぶ時間が経っていたみたいですニャ。申し訳ないですニャ。これをお渡しするニャ。",
0x13cd34@mhfpac.bin,"ワタシは調査を続けるので、
どうかおかまいなく。ですニャ！",
0x13cd40@mhfpac.bin,--,
0x13cd4c@mhfpac.bin,"やっと助けが来てくれたニャ…。
暗くて寒くて、もう帰れないんじゃないかと
思ったニャ。これはお礼ですニャ。
本当に助かったニャ！",
0x13cd58@mhfpac.bin,"これで、やーっとお家に帰れるのニャ。
こんな暗くて寒い所はとっととオサラバニャ！",
0x13cd64@mhfpac.bin,--,
0x13cd70@mhfpac.bin,"まさか道に迷って出られなくなるとはニャ。
ハンターさんは命の恩人なのですニャ！
こんなものしかないけど受け取ってくれニャ！",
0x13cd7c@mhfpac.bin,えーと…出口に行くには、まっすぐ行って次を左…あれ？右だったかニャ？,
0x13cd88@mhfpac.bin,--,
0x13cd94@mhfpac.bin,"助かったニャ…。
ここは地図がないから一度迷ったら
出られなくなってしまうニャ。
助けてくれたお礼をお渡しするニャ！",
0x13cda0@mhfpac.bin,"次はみんなと同じように地図を書きながら
調査を進めることにするニャ。",
0x13cdac@mhfpac.bin,--,
0x13cdb8@mhfpac.bin,"迎えに来てくれて、どうもありがとニャ！
これで何とか帰ることができそうですニャ。
これは、こころばかりのお礼ですニャ！",
0x13cdc4@mhfpac.bin,"調査で迷子になったら意味ないニャ。
ギルドはネコ使いが荒いのニャー。",
0x13cdd0@mhfpac.bin,--,
0x13cddc@mhfpac.bin,"好奇心のまま進んでいたら、
迷子になってしまったのニャ。
助けに来てくれて、ありがとうニャ。
これを受け取ってほしいニャ！",
0x13cde8@mhfpac.bin,"見るもの全てがボクの好奇心をつかんで
離さないのニャー。",
0x13cdf4@mhfpac.bin,--,
