location,source,target
0x186ce4@mhfpac.bin,‾C00Loading World Select.,
0x186cec@mhfpac.bin,‾C00Preparing Network.,
0x186cf4@mhfpac.bin,‾C00Preparing Quest.,
0x186cfc@mhfpac.bin,‾C00Returning to Public Bar... Please wait.,
0x186d04@mhfpac.bin,‾C00Returning to Arena... Please wait.,
0x186d0c@mhfpac.bin,‾C00Returning to His Immenseness... Please wait.,
0x186d14@mhfpac.bin,‾C00Returning to Town... Please wait.,
0x186d1c@mhfpac.bin,"‾C00A connection will be made using the above ID.
Is this OK?",
0x186d24@mhfpac.bin,"‾C00Connect after receiving new ID.
A maximum of 3 IDs can be received.
Is this OK?",
0x186d2c@mhfpac.bin,‾C00Logging Out.,
0x186d34@mhfpac.bin,‾C00Disconnecting due to idleness.,
0x186d3c@mhfpac.bin,"‾C00一定時間入力が無かったため
回線を切断しました。",
0x186d44@mhfpac.bin,"‾C00Preparing to log out.
Please wait.",
0x186d4c@mhfpac.bin,‾C00Disconnected due to instability.,
0x186d54@mhfpac.bin,"‾C00       回線が不安定なため       
サーバーから切断されました。",
0x186d5c@mhfpac.bin,‾C00Insufficient Hunter Rank.,
0x186d64@mhfpac.bin,‾C00Entering Mezeporta Square.,
0x186d6c@mhfpac.bin,‾C00Moving to Mezeporta Square.,
0x186d74@mhfpac.bin,"‾C00Failed to move to Mezeporta Square.
Disconnected from network.",
0x186d7c@mhfpac.bin,"‾C00Failed to swap rooms.
Returning to original location.",
0x186d84@mhfpac.bin,"‾C00Cannot enter, area full.",
0x186d8c@mhfpac.bin,"‾C00Failed to swap servers.
Returning to original location.",
0x186d94@mhfpac.bin,‾C00Could not return to Mezeporta Square.,
0x186d9c@mhfpac.bin,‾C00Selected Mezeporta Square unavailable.,
0x186da4@mhfpac.bin,‾C00Cannot move from current Square.,
0x186dac@mhfpac.bin,‾C00No where to move to.,
0x186db4@mhfpac.bin,‾C00Moving to Mezeporta Square.,
0x186dbc@mhfpac.bin,‾C00World info received.,
0x186dc4@mhfpac.bin,‾C00Quest search failed.,
0x186dcc@mhfpac.bin,‾C00Moving…,
0x186dd4@mhfpac.bin,"‾C00The above player will be deleted from the list.
Is this OK?",
0x186ddc@mhfpac.bin,‾C00 was deleted.,
0x186de4@mhfpac.bin,‾C00Searching for players...,
0x186dec@mhfpac.bin,‾C00No Results Found.,
0x186df4@mhfpac.bin,‾C00Failed to search for specified criteria.,
0x186dfc@mhfpac.bin,‾C00Please enter your 6 digit ID.,
0x186e04@mhfpac.bin,‾C00Please enter a name with 1 or more characters.,
0x186e0c@mhfpac.bin,‾C00Add the above player to your Friend List?,
0x186e14@mhfpac.bin,‾C00You cannot join your own Friend List.,
0x186e1c@mhfpac.bin,‾C00You cannot send to yourself.,
0x186e24@mhfpac.bin,‾C00Friend List registration canceled.,
0x186e2c@mhfpac.bin,‾C00Friend List registration complete.,
0x186e34@mhfpac.bin,‾C00Friend List overwriting complete.,
0x186e3c@mhfpac.bin,"‾C00Is it OK to overwrite your Friend List in order to
register this player?",
0x186e44@mhfpac.bin,"‾C00You will make a new Friend List registration.
Is this OK?",
0x186e4c@mhfpac.bin,"You do not have enough space on your Friend List to
register any more players. You will have to erase
existing data before registering any new players.",
0x186e54@mhfpac.bin,"‾C00上記のプレイヤーの申請または登録を選択してください

カプリンクでカプトモ申請をする
MHFフレンドに登録する",
0x186e5c@mhfpac.bin,‾C00カプトモ申請が完了しました。,
0x186e64@mhfpac.bin,‾C00既にカプトモ登録されています。,
0x186e6c@mhfpac.bin,‾C00何らかのエラーが発生しました。(1),
0x186e74@mhfpac.bin,‾C00対象のCOGアカウントが見つからないので申請できません。,
0x186e7c@mhfpac.bin,‾C00カプトモパスが正しくありません。,
0x186e84@mhfpac.bin,"‾C00カプトモパスを入力せずにゲームを開始します。
よろしいですか？",
0x186e8c@mhfpac.bin,"‾C00カプトモパスの入力を中止します。
よろしいですか？",
0x186e94@mhfpac.bin,‾C00カプトモ申請済みです。,
0x186e9c@mhfpac.bin,‾C00カプトモ申請数の上限に達しています。,
0x186ea4@mhfpac.bin,‾C00既にカプトモです。,
0x186eac@mhfpac.bin,‾C00カプトモ数の上限に達しています。,
0x186eb4@mhfpac.bin,"‾C00カプトーク一覧から削除します。
よろしいですか？",
0x186ebc@mhfpac.bin,"‾C00招待を削除します。
よろしいですか？",
0x186ec4@mhfpac.bin,‾C00You're unable to jump to this location.,
0x186ecc@mhfpac.bin,"‾C00The player displayed above will be registered on your
Blacklist and you will not receive Messages or Chat
messages from them. Is this OK?",
0x186ed4@mhfpac.bin,‾C00Blacklist registration canceled.,
0x186edc@mhfpac.bin,‾C00Blacklist registration complete.,
0x186ee4@mhfpac.bin,‾C00Blacklist overwriting complete.,
0x186eec@mhfpac.bin,"‾C00Is it OK to overwrite your Blacklist in order to
register this player?",
0x186ef4@mhfpac.bin,"‾C00You will make a new Blacklist registration.
Is this OK?",
0x186efc@mhfpac.bin,"You do not have enough space on your Blacklist to
register any more players. You will have to erase
existing data before registering any new players.",
0x186f04@mhfpac.bin,"The above player will be deleted from your Blacklist.
Is this OK?",
0x186f0c@mhfpac.bin,‾C00Deletion canceled.,
0x186f14@mhfpac.bin,‾C00Deleted.,
0x186f1c@mhfpac.bin,"‾C00You've already selected eight players.
You cannot select any more.",
0x186f24@mhfpac.bin,‾C00Message sent.,
0x186f2c@mhfpac.bin,"‾C00The game will close.
Are you sure?",
0x186f34@mhfpac.bin,"‾C00You're heading for the village (single player mode).
Is this OK?",
0x186f3c@mhfpac.bin,"‾C00The game will close.
Are you sure?",
0x186f44@mhfpac.bin,"‾C00Returning to land selection.
Are you sure?",
0x186f4c@mhfpac.bin,‾C00Specified player is offline.,
0x186f54@mhfpac.bin,"‾C00Sending short mail.
Are you sure?",
0x186f5c@mhfpac.bin,‾C00All searches failed.,
0x186f64@mhfpac.bin,‾C00ID is invalid.,
0x186f6c@mhfpac.bin,‾C00Sending mail…,
0x186f74@mhfpac.bin,‾C00You cannot send mail to yourself.,
0x186f7c@mhfpac.bin,‾C00Already entered.,
0x186f84@mhfpac.bin,‾C00Do you want to jump?,
0x186f8c@mhfpac.bin,‾C00Would you like to join this group?,
0x186f94@mhfpac.bin,‾C00Selected group has been disbanded.,
0x186f9c@mhfpac.bin,‾C00Selected group is full.,
0x186fa4@mhfpac.bin,‾C00Initializing…,
0x186fac@mhfpac.bin,‾C00<Send Message>,
0x186fb4@mhfpac.bin,"‾C00
 Select From Friend List

Enter ID


{k01}: Back {k00}: Confirm",
0x186fbc@mhfpac.bin,"‾C00
 Enter Name 

Select From Friend List


{k01}: Back {k00}: Confirm",
0x186fc4@mhfpac.bin,"‾C00
Enter ID

 Select From Friend List 


{k01}: Back {k00}: Confirm",
0x186fcc@mhfpac.bin,‾C00You cannot search for yourself.,
0x186fd4@mhfpac.bin,"‾C00You will be disconnected from the network and returned
to the Game Menu. Is this OK?",
0x186fdc@mhfpac.bin,"‾C00
Search within this Area

 Search within this Area (Filtered) 

Search Every Land


{k01}: Back {k00}: Confirm",
0x186fe4@mhfpac.bin,"‾C00
Search all Quests.

 Search all Quests (Filtered) 


{k01}: Back {k00}: Confirm",
0x186fec@mhfpac.bin,‾C00Searching for Groups...,
0x186ff4@mhfpac.bin,‾C00Unable to find a group corresponding to your criteria.,
0x186ffc@mhfpac.bin,‾C00Retrieving information...,
0x187004@mhfpac.bin,"‾C00Unable to join the Quest. The town you've chosen has
been disbanded.",
0x18700c@mhfpac.bin,"‾C00Unable to view Quest details.

The initiated Quest has either been canceled or the
Hunters have already set out on the Quest.",
0x187014@mhfpac.bin,‾C00Currently unable to jump to this town.,
