location,source,target
0x13cc40@mhfpac.bin,"Yeah! We're finally heading out!
We don't know what awaits us from here on.
You better go in fully armed!",
0x13cc4c@mhfpac.bin,"Come on, hurry up and exchange for items
with those Gems! Once you leave you can't
come back here, so choose carefully!",
0x13cc58@mhfpac.bin,Later. Wish ya luck!,
0x13cc64@mhfpac.bin,"オウ！長旅、お疲れさま。到着したぜ！
目の前のでかい建物がお目当ての‾C05≪天廊≫‾C00だ。",
0x13cc70@mhfpac.bin,演習とはいえ、念のため準備は万全にして行った方がいいぜ！ということで、さぁ、早速ジェムと交換するアイテムを選んでくれ！,
0x13cc7c@mhfpac.bin,"ジェムについてはバッチリか？
調査の詳細については、この先で待っている天廊管理役のところに行って教わってくれ！",
0x13cc88@mhfpac.bin,"おっと、１つ言い残していたぜ。
一度出発したらここにはもう戻れないぞ。物資は天廊内でも調達できるが、最低限の準備は忘れずにな！",
0x13cc94@mhfpac.bin,"ん？ジェムとは何かって？
簡単に言えば、調査に必要な物資と交換するために支給されるものってところだな。",
0x13cca0@mhfpac.bin,"まあ、習うより慣れろ、だ。
来た時に受け取ったジェムがあるだろ。
試しに使ってみたらどうだ？",
0x13ccac@mhfpac.bin,それじゃあ、頑張れよ。健闘を祈るぜ！,
0x13ccb8@mhfpac.bin,"オウ！演習とはいえ、念のため
準備は万全にして行った方がいいぜ！
ということで、さぁ、早速ジェムと
交換するアイテムを選んでくれ！",
