location,source,target
0xb8bb40@mhfdat-jp.bin,"選択中のアイテムを捨てます。
よろしいですか？",
0xb8bb44@mhfdat-jp.bin,渡す相手を選択して下さい。,
0xb8bb48@mhfdat-jp.bin,よろしいですか？,
0xb8bb4c@mhfdat-jp.bin,渡す個数を選択して下さい。,
0xb8bb50@mhfdat-jp.bin,納品する個数を選択して下さい。,
0xb8bb54@mhfdat-jp.bin,"アイテムを納品します。
よろしいですか？",
0xb8bb58@mhfdat-jp.bin,"並べ替えてよろしいですか？
‾C05弾・ビンは専用ポーチに収納されます",
0xb8bb5c@mhfdat-jp.bin,入れ替え先を選んで下さい。,
0xb8bb60@mhfdat-jp.bin,"登録するファンクションキーを
押してください。
（{K012}でページ切り替え）",
0xb8bb68@mhfdat-jp.bin,‾C02未調合‾C00,
0xb8bb6c@mhfdat-jp.bin,素材がありません。,
0xb8bb70@mhfdat-jp.bin,このアイテムはこれ以上持てません。,
0xb8bb74@mhfdat-jp.bin,ポーチに空きがありません。,
0xb8bb78@mhfdat-jp.bin,２種類のアイテムを調合します。,
0xb8bb7c@mhfdat-jp.bin,３種類のアイテムを調合します。,
0xb8bb80@mhfdat-jp.bin,調合リストを開きます。,
0xb8bb84@mhfdat-jp.bin,"調合のレシピが確認できます。
レシピアイテムを購入していないと
選べません。",
0xb8bb88@mhfdat-jp.bin,アイテムボックスに空きがありません,
0xb8bb90@mhfdat-jp.bin,"これ以上アイテムを持てません。
処理方法を選択して下さい。",
0xb8bb94@mhfdat-jp.bin,どのアイテムと入れ替えますか？,
0xb8bb98@mhfdat-jp.bin,"アイテムを入れ替えます。
よろしいですか？",
0xb8bba0@mhfdat-jp.bin,dummy,
0xb8bba4@mhfdat-jp.bin,"調合の概念を学ぶための書物。
所持することで、
調合の成功確率アップ。",
0xb8bba8@mhfdat-jp.bin,"調合の初歩を学ぶための書物。
調合書①と合わせ持つ
ことで調合の成功確率アップ。",
0xb8bbac@mhfdat-jp.bin,"調合の基礎を学ぶための書物。
調合書①②と合わせ持つ
ことで調合の成功確率アップ。",
0xb8bbb0@mhfdat-jp.bin,"調合の応用を学ぶための書物。
調合書①②③と合わせ持つ
ことで調合の成功確率アップ。",
0xb8bbb4@mhfdat-jp.bin,"調合の全てを学ぶための書物。
調合書①②③④と合わせ持つ
ことで調合の成功確率アップ。",
0xb8bbb8@mhfdat-jp.bin,"これ一冊あれば、あなたも
錬金術が使えます！
何が作れるかはお楽しみ。",
0xb8bbbc@mhfdat-jp.bin,体力を少量回復する薬。,
0xb8bbc0@mhfdat-jp.bin,体力を中量回復する薬。,
0xb8bbc4@mhfdat-jp.bin,"体力の上限を微量に
上昇させる薬。",
0xb8bbc8@mhfdat-jp.bin,"体力の上限を少量、
上昇させる薬。",
0xb8bbcc@mhfdat-jp.bin,"１００％の確率で毒状態を
回復する薬。",
0xb8bbd0@mhfdat-jp.bin,自然回復力を高める薬。,
0xb8bbd4@mhfdat-jp.bin,"一定時間疲れることなく走り
続けることができる薬。",
0xb8bbd8@mhfdat-jp.bin,"狂走エキスのはたらきにより、
強走薬よりも、更に長い時間
走り続けることができる薬。",
0xb8bbdc@mhfdat-jp.bin,"攻撃力を上昇させる薬。
鬼のごとき力を得る。",
0xb8bbe0@mhfdat-jp.bin,"鬼人薬を上回る攻撃力を
得ると伝えられる幻の薬。",
0xb8bbe4@mhfdat-jp.bin,"一時的に鬼神のごとき力を
得る事のできる、強力な丸薬。",
0xb8bbe8@mhfdat-jp.bin,"防御力を上昇させる薬。
岩石のごとく皮膚が硬質化
する。",
0xb8bbec@mhfdat-jp.bin,"硬化薬を上回る防御力を
得ると伝えられる幻の薬。",
0xb8bbf0@mhfdat-jp.bin,"一時的に鋼のごとく皮膚が
硬質化する、強力な丸薬。",
0xb8bbf4@mhfdat-jp.bin,一定時間暑さを緩和する飲料。,
0xb8bbf8@mhfdat-jp.bin,一定時間寒さを緩和する飲料。,
0xb8bbfc@mhfdat-jp.bin,"短時間ではあるが、第六感が
研ぎ澄まされ、モンスターの
生態を感知する事ができる。",
0xb8bc00@mhfdat-jp.bin,"虫が吸った生物の体液。
虫の消化液と混ざることで、
接着剤としての効能がある。",
0xb8bc04@mhfdat-jp.bin,"モンスターの体液の、さらに
濃い部分だけをすくった汁。
かなり濃厚。",
0xb8bc08@mhfdat-jp.bin,"１００％の確率で毒状態を
回復し、同時に体力を微量
回復する薬。",
0xb8bc0c@mhfdat-jp.bin,"体力の上限が最大まで上昇し、
完全回復する薬。",
0xb8bc10@mhfdat-jp.bin,"体力とスタミナの上限が最大
まで上昇し、完全回復する薬。",
0xb8bc14@mhfdat-jp.bin,"素材や薬品の持つ効力を、
最大限に引き出す薬剤。
単品では使用不可能。",
0xb8bc18@mhfdat-jp.bin,"疲れた体にこの１本！
飲むとスタミナが回復する。
ギルド公認のドリンク。",
0xb8bc1c@mhfdat-jp.bin,ダミー。,
0xb8bc20@mhfdat-jp.bin,"衝撃や熱を加えることで、
爆発を引き起こす危険な薬。",
0xb8bc24@mhfdat-jp.bin,"生命のみなもととして
あがめられる不思議な粉。",
0xb8bc28@mhfdat-jp.bin,"生命の粉を調合した薬。
使うと拡散する生命の粉には、
触れた者を癒す能力がある。",
0xb8bc2c@mhfdat-jp.bin,"攻撃力を上昇させる御守り。
所持しているだけで、鬼人の
ごとき力を得ることが可能。",
0xb8bc30@mhfdat-jp.bin,"攻撃力を上昇させる御守り。
龍の爪が、込められた護符の
効果をさらに高める。",
0xb8bc34@mhfdat-jp.bin,"防御力を上昇させる御守り。
所持しているだけで、岩石の
ごとく皮膚が硬質化する。",
0xb8bc38@mhfdat-jp.bin,"防御力を上昇させる御守り。
龍の爪が、込められた護符の
効果をさらに高める。",
0xb8bc3c@mhfdat-jp.bin,"組み合わせることで、
捕獲麻酔の効果をつけられる
薬。",
0xb8bc40@mhfdat-jp.bin,"モンスターから剥ぎ取った肉。
調合や調理、罠としての設置、
あらゆる用途に使用できる。",
0xb8bc44@mhfdat-jp.bin,"生肉にひと手間加えたもの。
食欲を刺激する上質な油の
香りが漂っている。",
0xb8bc48@mhfdat-jp.bin,"生肉にひと手間加えたもの。
焼く前から既に香ばしい
香りが漂っている。",
0xb8bc4c@mhfdat-jp.bin,"生肉にひと手間加えたもの。
すがすがしい清涼感漂う
香りがする。",
0xb8bc50@mhfdat-jp.bin,"食べると毒をうける生肉。
罠として使われる。",
0xb8bc54@mhfdat-jp.bin,"食べるとシビレる生肉。
罠として使われる。",
0xb8bc58@mhfdat-jp.bin,"食べると眠気をさそう生肉。
罠として使われる。",
0xb8bc5c@mhfdat-jp.bin,"生焼けの肉。
スタミナを少量回復する。",
0xb8bc60@mhfdat-jp.bin,"こんがりと焼けた肉。
スタミナを中量回復する。",
0xb8bc64@mhfdat-jp.bin,"グレートな出来ばえの
こんがりと焼けた肉。
スタミナを全回復する。",
