location,source,target
0xa773e0@mhfdat-jp.bin,"何も装備していない。<join at=""10974180""><join at=""10974184"">",
0xa773ec@mhfdat-jp.bin,"新米ハンターでも扱える大剣。<join at=""10974192"">多数のモンスターをなぎ払う<join at=""10974196"">ことが可能な武器。",
0xa773f8@mhfdat-jp.bin,"新米ハンターでも扱える大剣。<join at=""10974204"">多数のモンスターをなぎ払う<join at=""10974208"">ことが可能な武器。",
0xa77404@mhfdat-jp.bin,"より純度の高い鉄を精製し、<join at=""10974216"">攻撃力を強化した大剣。<join at=""10974220"">後の強化で様々な派生をする。",
0xa77410@mhfdat-jp.bin,"顔を持つ大剣。伝説によれば<join at=""10974228"">主を救う為に戦ったアイルー<join at=""10974232"">の魂が込められているという。",
0xa7741c@mhfdat-jp.bin,"地上において並ぶもの無しと<join at=""10974240"">される一振り。<join at=""10974244"">まごうことなき名刀。",
0xa77428@mhfdat-jp.bin,"より純度の高い鉄を精製し、<join at=""10974252"">攻撃力を強化した大剣。<join at=""10974256"">後の強化で様々な派生をする。",
0xa77434@mhfdat-jp.bin,"灼熱の蒼い炎をまとった大剣。<join at=""10974264"">荒ぶる煌きに魅入られた者は、<join at=""10974268"">例外なくその刃の餌食となる。",
0xa77440@mhfdat-jp.bin,"鉤爪状の刃が飛び出す鉄大剣。<join at=""10974276"">普段は刀身の中に収納されて<join at=""10974280"">いる。開発途上品。",
0xa7744c@mhfdat-jp.bin,"ブレイズブレイド強化版。<join at=""10974288"">この剣を扱えるのであれば、<join at=""10974292"">飛竜類さえおそれる事は無い。",
0xa77458@mhfdat-jp.bin,"東方伝来の加工技術の剣。<join at=""10974300"">丹念に加工された刃は強靭で、<join at=""10974304"">粘りがある。手入れは重要。",
0xa77464@mhfdat-jp.bin,"東方伝来の加工技術の剣。<join at=""10974312"">丹念に加工された刃は強靭で、<join at=""10974316"">粘りがある。手入れは重要。",
0xa77470@mhfdat-jp.bin,"東方伝来の加工技術の剣。<join at=""10974324"">丹念に加工された刃は強靭で、<join at=""10974328"">粘りがある。手入れは重要。",
0xa7747c@mhfdat-jp.bin,"鉄刀の工房オリジナル強化品。<join at=""10974336"">刀身の背に牙を用いて、斬撃<join at=""10974340"">時に深手をあたえる刀に改造。",
0xa77488@mhfdat-jp.bin,"鉄刀の工房オリジナル強化品。<join at=""10974348"">刀身の背に牙を用いて、斬撃<join at=""10974352"">時に深手をあたえる刀に改造。",
0xa77494@mhfdat-jp.bin,"鉄刀の工房オリジナル強化品。<join at=""10974360"">刀身の背に牙を用いて、斬撃<join at=""10974364"">時に深手をあたえる刀に改造。",
0xa774a0@mhfdat-jp.bin,"骨刀強化版。<join at=""10974372"">薬品加工を施された骨刀。<join at=""10974376"">鋭い虫の羽が、刃となる。",
0xa774ac@mhfdat-jp.bin,"骨刀強化版。<join at=""10974384"">薬品加工を施された骨刀。<join at=""10974388"">鋭い虫の羽が、刃となる。",
0xa774b8@mhfdat-jp.bin,"盾の役割を果たす大剣。<join at=""10974396"">防御に重点を置いたつくりで、<join at=""10974400"">防御力上昇特性がある。",
0xa774c4@mhfdat-jp.bin,"落日の色に染まる飛竜刀。<join at=""10974408"">朱く強靭な刃は一太刀ごとに、<join at=""10974412"">熱波と爆炎の洗礼を見舞う。",
0xa774d0@mhfdat-jp.bin,"盾の役割を果たす大剣。<join at=""10974420"">防御に重点を置いたつくりで、<join at=""10974424"">防御力上昇特性がある。",
0xa774dc@mhfdat-jp.bin,"斬れ味は良くないが、攻撃力<join at=""10974432"">に特化した斧剣。強化で特殊<join at=""10974436"">な成長を遂げる。大器晩成型。",
0xa774e8@mhfdat-jp.bin,"雌火竜の素材を用いて作られ<join at=""10974444"">た深緑の飛竜刀。高い鋭さと、<join at=""10974448"">威力を両立した業物である。",
0xa774f4@mhfdat-jp.bin,"斬れ味は良くないが、攻撃力<join at=""10974456"">に特化した斧剣。強化で特殊<join at=""10974460"">な成長を遂げる。大器晩成型。",
0xa77500@mhfdat-jp.bin,"骨製の斧剣。その塊の大きさ<join at=""10974468"">ゆえ、斬るというよりも叩き<join at=""10974472"">潰すといった感覚に近い。",
0xa7750c@mhfdat-jp.bin,"骨製の斧剣。その塊の大きさ<join at=""10974480"">ゆえ、斬るというよりも叩き<join at=""10974484"">潰すといった感覚に近い。",
0xa77518@mhfdat-jp.bin,"鎌の形態をとり、飛竜類を<join at=""10974492"">一刀両断する死神の大鎌。<join at=""10974496"">薬品加工。",
0xa77524@mhfdat-jp.bin,"鎌の形態をとり、飛竜類を<join at=""10974504"">一刀両断する死神の大鎌。<join at=""10974508"">薬品加工。",
0xa77530@mhfdat-jp.bin,"鉄と実力を二分する骨剣。<join at=""10974516"">多数のモンスターをなぎ払う<join at=""10974520"">ことが可能な武器。",
0xa7753c@mhfdat-jp.bin,"鉄と実力を二分する骨剣。<join at=""10974528"">多数のモンスターをなぎ払う<join at=""10974532"">ことが可能な武器。",
0xa77548@mhfdat-jp.bin,"モンスターの爪や牙を利用<join at=""10974540"">して攻撃力を強化した大剣。<join at=""10974544"">後の強化で３系統に派生する。",
0xa77554@mhfdat-jp.bin,"骨刀強化版。<join at=""10974552"">薬品加工を施された骨刀。<join at=""10974556"">鋭い虫の羽が、刃となる。",
0xa77560@mhfdat-jp.bin,"モンスターの爪や牙を利用<join at=""10974564"">して攻撃力を強化した大剣。<join at=""10974568"">後の強化で３系統に派生する。",
0xa7756c@mhfdat-jp.bin,"骨剣に頑強な盾蟹の殻を<join at=""10974576"">組み合わせた殻大剣。<join at=""10974580"">安定した斬れ味を得た。",
0xa77578@mhfdat-jp.bin,"大型の骨から強化される大剣。<join at=""10974588"">重量で破壊力を得る骨大剣で、<join at=""10974592"">これを扱えるなら一人前。",
0xa77584@mhfdat-jp.bin,"ゴーレムブレイド強化版。<join at=""10974600"">モンスターの体液で、骨材と<join at=""10974604"">甲殻とをつなぎ合わせた逸品。",
0xa77590@mhfdat-jp.bin,"ゴーレムブレイド最終強化版。<join at=""10974612"">薬品加工でより斬れ味が上昇。<join at=""10974616"">雌雄関係にある剣が存在する。",
0xa7759c@mhfdat-jp.bin,"伝説の龍殺しの大剣。<join at=""10974624"">〜雄志を以て我を振るう者<join at=""10974628"">　　龍鱗を薄衣と為さん　〜",
0xa775a8@mhfdat-jp.bin,"巨大なハサミを加工した大剣。<join at=""10974636"">楔の如き爪は、頑丈な鱗すら<join at=""10974640"">引きちぎり、肉を食い破る。",
0xa775b4@mhfdat-jp.bin,"骨加工の特徴である属性強化。<join at=""10974648"">剣を振ったときに、ヒレの刃<join at=""10974652"">から高圧縮の水が出る。",
0xa775c0@mhfdat-jp.bin,"斬れ味鋭い、蒼き甲殻剣。<join at=""10974660"">最も良質なブレードのみ、<join at=""10974664"">その刃先に利用される。",
0xa775cc@mhfdat-jp.bin,"骨加工の特徴である属性強化。<join at=""10974672"">剣を振ったときに、ヒレの刃<join at=""10974676"">から高圧縮の水が出る。",
0xa775d8@mhfdat-jp.bin,"雄火竜リオレウスの翼を模し<join at=""10974684"">てつくられた大剣。火炎袋に<join at=""10974688"">より発火作用が得られる。",
0xa775e4@mhfdat-jp.bin,"雄火竜リオレウスの翼を模し<join at=""10974696"">てつくられた大剣。火炎袋に<join at=""10974700"">より発火作用が得られる。",
0xa775f0@mhfdat-jp.bin,"大剣としての機能は果たして<join at=""10974708"">いない錆びた武器。<join at=""10974712"">結晶研磨加工していくと…。",
0xa775fc@mhfdat-jp.bin,"大剣としての機能は果たして<join at=""10974720"">いない錆びた武器。<join at=""10974724"">結晶研磨加工していくと…。",
0xa77608@mhfdat-jp.bin,"斬れ味鋭い、蒼き甲殻剣。<join at=""10974732"">最も良質なブレードのみ、<join at=""10974736"">その刃先に利用される。",
0xa77614@mhfdat-jp.bin,"工房では精製できない金属で<join at=""10974744"">できており、現在研究対象物<join at=""10974748"">として取り扱われている。",
0xa77620@mhfdat-jp.bin,"ただの骨。武器とは言い難い。<join at=""10974756""><join at=""10974760"">",
0xa7762c@mhfdat-jp.bin,"幾百の暦を経た龍木刀。<join at=""10974768"">〜龍ヨリ生マレシ古木ノ心<join at=""10974772"">　アマネク命全テヲ封ズル〜",
0xa77638@mhfdat-jp.bin,"老山龍の角と紅蓮石を熱融合<join at=""10974780"">させてつくられた逸品。<join at=""10974784"">龍殺しの武器の１つである。",
0xa77644@mhfdat-jp.bin,"老山龍の角と紅蓮石を熱融合<join at=""10974792"">させてつくられた逸品。<join at=""10974796"">龍殺しの武器の１つである。",
0xa77650@mhfdat-jp.bin,"ドスランポスの鋭い爪を利用<join at=""10974804"">した、ブレイズブレイドの亜<join at=""10974808"">流品。蛇の頭を模した大剣。",
0xa7765c@mhfdat-jp.bin,"二種類のディアブロスの素材<join at=""10974816"">を混ぜた斧大剣。その一撃は、<join at=""10974820"">大地を割り、大山を崩す。",
0xa77668@mhfdat-jp.bin,"ドスランポスの鋭い爪を利用<join at=""10974828"">した、ブレイズブレイドの亜<join at=""10974832"">流品。蛇の頭を模した大剣。",
0xa77674@mhfdat-jp.bin,"扱い次第で強力な威力を得る。<join at=""10974840"">溜め攻撃は目を見張る威力！<join at=""10974844"">武器によるガードは無い。",
0xa77680@mhfdat-jp.bin,"扱い次第で強力な威力を得る。<join at=""10974852"">溜め攻撃は目を見張る威力！<join at=""10974856"">武器によるガードは無い。",
0xa7768c@mhfdat-jp.bin,"より純度の高い鉄を精製し、<join at=""10974864"">攻撃力を強化した大槌。<join at=""10974868"">",
0xa77698@mhfdat-jp.bin,"融点が異常に高い鉱物を使用。<join at=""10974876"">熱した状態で振り回し、対象<join at=""10974880"">を溶かすという恐ろしい鎚。",
0xa776a4@mhfdat-jp.bin,"より純度の高い鉄を精製し、<join at=""10974888"">攻撃力を強化した大槌。<join at=""10974892"">",
0xa776b0@mhfdat-jp.bin,"鋼鉄の塊と呼ぶにふさわしい<join at=""10974900"">巨大なハンマー。怪力自慢の<join at=""10974904"">持つ鉄鎚といえよう。",
0xa776bc@mhfdat-jp.bin,"強力な突進を持つドスファン<join at=""10974912"">ゴの素材を使用したハンマー。<join at=""10974916"">東方由来の武器とされている。",
0xa776c8@mhfdat-jp.bin,"漆黒の角と真紅の角の競演。<join at=""10974924"">この迫力は角竜の突進を思わ<join at=""10974928"">せる。この破壊力の前には…。",
0xa776d4@mhfdat-jp.bin,"アイアンストライク最終強化<join at=""10974936"">版。長き強化により、攻撃力<join at=""10974940"">斬れ味ともに最大級。逸品。",
