location,source,target
0x13ce00@mhfpac.bin,"If you need something,
I will exchange them for gems nya!",
0x13ce0c@mhfpac.bin,気をつけて行くのニャ！,
0x13ce18@mhfpac.bin,"あっハンターさん！
この先はちょっとマズい感じがするのニャ。
イヤ〜な寒い空気がココまで流れてきてるニャ。",
0x13ce24@mhfpac.bin,かなりの「テダレ」じゃないと、突破は難しいと思うニャ。ヤツと戦うというニャらバンゼンの準備を整えていくことニャ！,
0x13ce30@mhfpac.bin,"何か必要なものがあれば、
ボクがジェムと交換するニャ！",
0x13ce3c@mhfpac.bin,"あっそうだニャ！
この先の扉は‾C02一度進んだら戻れない‾C00みたいニャ。
クレグレも気をつけて行くのニャ！",
0x13ce48@mhfpac.bin,Nya? Not enough preparation?,
0x13ce54@mhfpac.bin,"Please be careful on your way, nya!",
0x13ce60@mhfpac.bin,"ハンターさん、はじめましてですニャ。
天廊調査の頼れる味方、‾C05≪天廊ネコ≫‾C00とはボクのことだニャ！",
0x13ce6c@mhfpac.bin,本来ならば、天廊調査をする人にジェムと交換で必要な物をお渡しするのがボクのおしごとニャんですけど、,
0x13ce78@mhfpac.bin,"This time it is still in the sky corridor survey
As an unfamiliar hunter's senpai
I'll teach you how to take a step!
Nice to meet you!",
0x13ce84@mhfpac.bin,"First of all, the place where we are now, this is inside the heavenly corridor. 
Apparently, there are traps here and there, so it's a really cool place.",
0x13ce90@mhfpac.bin,"For example, I want you to see the stairs that have just come up.
When you go up the stairs, the door closes, so once you go upstairs, you can't go back down.",
0x13ce9c@mhfpac.bin,"だけど、安心するニャ。
このあたりは特別で、調査の結果、安全が確保されているとギルドの人が言っていたニャ。",
0x13cea8@mhfpac.bin,"So, learn the Kihon of the sky corridor survey here,
I want you to use it for future research.",
0x13ceb4@mhfpac.bin,"Well then, let's start right away!
I will teach you the important things each time, so
Anyway, let's go dong dong!",
0x13cec0@mhfpac.bin,"Hunter, thank you for your hard work.
Would you like to hear about the sky corridor again?",
0x13cecc@mhfpac.bin,It seems that Felyne hasn't returned yet. I'm worried ...,
0x13ced8@mhfpac.bin,"Nya! Hunter,
It looks like you're having trouble investigating, right?
To help the hunter who is in trouble
My work.
I want my gem to be useful for investigation.",
0x13cee4@mhfpac.bin,"I'm in trouble.
It looks like there is a lost Felyne.
Hunter, please.
I want you to use this gem to find the lost Felyne.",
0x13cef0@mhfpac.bin,"Nya! Hunter,
It looks like you're having trouble investigating, right?
The future is extremely dangerous!
Take this gem and get ready!",
0x13cefc@mhfpac.bin,"あっハンターさん！
この先はちょっとマズい感じがするのニャ。
イヤーなピリピリした空気がココまで流れてきてるニャ。",
