location,source,target
0x162d60@mhfinf.bin,"≪Hunter Basics≫
Hunter Basics<join at=""1453412"">Deliver 2 Raw Meat<join at=""1453416"">None<join at=""1453420"">None<join at=""1453424"">Achieve Main Objective<join at=""1453428"">Zero Rewards
Time Runs out<join at=""1453432"">教官<join at=""1453436"">我輩だ。教官だ！
よくぞこの≪クエスト確認≫
に目を通したな！ナイスだ！
どのクエストでも、ここには
クエストクリアに欠かせない
重要ヒントが書かれている。
必ず読むようにするのだぞ！",
0x162c00@mhfinf.bin,"≪Hunter Basics≫
Secret Wyvern Cooking<join at=""1453060"">Deliver 1 Well-Done Steak<join at=""1453064"">None<join at=""1453068"">None<join at=""1453072"">Achieve Main Objective<join at=""1453076"">Zero Rewards
Time Runs out<join at=""1453080"">教官<join at=""1453084"">我輩だ。教官だ！
この≪クエスト確認≫欄には
クエストの受注に必要なお金
≪契約金≫や、クリアの際に
もらえる≪報酬金≫、さらに
クエストの目的や制限時間と
重要事項が目白押しだぞ！",
0x162aa0@mhfinf.bin,"≪Hunter Basics≫
Secret Wyvern Gathering<join at=""1452708"">Deliver 2 Honey<join at=""1452712"">None<join at=""1452716"">None<join at=""1452720"">Achieve Main Objective<join at=""1452724"">Zero Rewards
Time Runs out<join at=""1452728"">教官<join at=""1452732"">我輩だ。教官だ！
うむ。よくぞここを見たな。
どのクエストに行くときも、
この項目はしっかり確認だ。
さて、今回は≪ハチミツ≫を
探すクエストだ。ハチの巣を
見つければ、蜜を取れるぞ！",
0x162940@mhfinf.bin,"≪Hunter Basics≫
Secret Wyvern Combo<join at=""1452356"">Deliver 1 Potion<join at=""1452360"">None<join at=""1452364"">None<join at=""1452368"">Achieve Main Objective<join at=""1452372"">Zero Rewards
Time Runs out<join at=""1452376"">教官<join at=""1452380"">我輩だ。教官だ！
調合には、成功確率なるもの
があるぞ。例え失敗しても、
あきらめずに繰り返すのだ！
{K010}で出るメニュー内の
調合→調合リストの中に調合
レシピが並んでいくぞ！",
0x1627e0@mhfinf.bin,"≪Hunter Basics≫
Secret Wyvern Fishing<join at=""1452004"">Deliver 1 Sushifish<join at=""1452008"">None<join at=""1452012"">None<join at=""1452016"">Achieve Main Objective<join at=""1452020"">Zero Rewards
Time Runs out<join at=""1452024"">教官<join at=""1452028"">我輩だ。教官だ！
≪釣りポイント≫にいる魚は
場所によって異なる。必要な
魚が釣れた所は、覚えておく
ようにするといいぞ。また、
季節によっても、魚の種類は
変わるのだ。大自然の神秘！",
0x162680@mhfinf.bin,"≪Hunter Basics≫
Secret Wyvern Sword and Shield<join at=""1451652"">5 Velociprey<join at=""1451656"">None<join at=""1451660"">None<join at=""1451664"">Achieve Main Objective<join at=""1451668"">Zero Rewards
Time Runs out<join at=""1451672"">教官<join at=""1451676"">我輩だ。教官だ！
このクエストでは、クリアの
条件がランポス５頭の討伐と
なっている。ひと通り武器の
操作を覚えたら、肩慣らしに
いっちょ戦ってみるがいい！
青い鱗を目印に探すのだぞ！",
0x162520@mhfinf.bin,"≪Hunter Basics≫
Secret Wyvern Great Sword<join at=""1451300"">5 Velociprey<join at=""1451304"">None<join at=""1451308"">None<join at=""1451312"">Achieve Main Objective<join at=""1451316"">Zero Rewards
Time Runs out<join at=""1451320"">教官<join at=""1451324"">我輩だ。教官だ！
このクエストでは、クリアの
条件がランポス５頭の討伐と
なっている。ひと通り武器の
操作を覚えたら、肩慣らしに
いっちょ戦ってみるがいい！
青い鱗を目印に探すのだぞ！",
0x1623c0@mhfinf.bin,"≪Hunter Basics≫
Secret Wyvern Hammer<join at=""1450948"">5 Velociprey<join at=""1450952"">None<join at=""1450956"">None<join at=""1450960"">Achieve Main Objective<join at=""1450964"">Zero Rewards
Time Runs out<join at=""1450968"">教官<join at=""1450972"">我輩だ。教官だ！
このクエストでは、クリアの
条件がランポス５頭の討伐と
なっている。ひと通り武器の
操作を覚えたら、肩慣らしに
いっちょ戦ってみるがいい！
青い鱗を目印に探すのだぞ！",
0x162260@mhfinf.bin,"≪Hunter Basics≫
Secret Wyvern Lance<join at=""1450596"">5 Velociprey<join at=""1450600"">None<join at=""1450604"">None<join at=""1450608"">Achieve Main Objective<join at=""1450612"">Zero Rewards
Time Runs out<join at=""1450616"">教官<join at=""1450620"">我輩だ。教官だ！
このクエストでは、クリアの
条件がランポス５頭の討伐と
なっている。ひと通り武器の
操作を覚えたら、肩慣らしに
いっちょ戦ってみるがいい！
青い鱗を目印に探すのだぞ！",
0x162100@mhfinf.bin,"≪Hunter Basics≫
Secret Wyvern Dual Swords<join at=""1450244"">5 Velociprey<join at=""1450248"">None<join at=""1450252"">None<join at=""1450256"">Achieve Main Objective<join at=""1450260"">Zero Rewards
Time Runs out<join at=""1450264"">教官<join at=""1450268"">我輩だ。教官だ！
このクエストでは、クリアの
条件がランポス５頭の討伐と
なっている。ひと通り武器の
操作を覚えたら、肩慣らしに
いっちょ戦ってみるがいい！
青い鱗を目印に探すのだぞ！",
0x161fa0@mhfinf.bin,"≪Hunter Basics≫
Secret Wyvern Long Sword<join at=""1449892"">5 Velociprey<join at=""1449896"">None<join at=""1449900"">None<join at=""1449904"">Achieve Main Objective<join at=""1449908"">Zero Rewards
Time Runs out<join at=""1449912"">教官<join at=""1449916"">我輩だ。教官だ！
このクエストでは、クリアの
条件がランポス５頭の討伐と
なっている。ひと通り武器の
操作を覚えたら、肩慣らしに
いっちょ戦ってみるがいい！
青い鱗を目印に探すのだぞ！",
0x161e40@mhfinf.bin,"≪Hunter Basics≫
Secret Wyvern Hunting Horn<join at=""1449540"">5 Velociprey<join at=""1449544"">None<join at=""1449548"">None<join at=""1449552"">Achieve Main Objective<join at=""1449556"">Zero Rewards
Time Runs out<join at=""1449560"">教官<join at=""1449564"">我輩だ。教官だ！
このクエストでは、クリアの
条件がランポス５頭の討伐と
なっている。ひと通り武器の
操作を覚えたら、肩慣らしに
いっちょ戦ってみるがいい！
青い鱗を目印に探すのだぞ！",
0x161ce0@mhfinf.bin,"≪Hunter Basics≫
Secret Wyvern Gunlance<join at=""1449188"">5 Velociprey<join at=""1449192"">None<join at=""1449196"">None<join at=""1449200"">Achieve Main Objective<join at=""1449204"">Zero Rewards
Time Runs out<join at=""1449208"">教官<join at=""1449212"">我輩だ。教官だ！
このクエストでは、クリアの
条件がランポス５頭の討伐と
なっている。ひと通り武器の
操作を覚えたら、肩慣らしに
いっちょ戦ってみるがいい！
青い鱗を目印に探すのだぞ！",
0x161b80@mhfinf.bin,"≪Hunter Basics≫
Secret Wyvern Light Bowgun<join at=""1448836"">5 Velociprey<join at=""1448840"">None<join at=""1448844"">None<join at=""1448848"">Achieve Main Objective<join at=""1448852"">Zero Rewards
Time Runs out<join at=""1448856"">教官<join at=""1448860"">我輩だ。教官だ！
このクエストでは、クリアの
条件がランポス５頭の討伐と
なっている。ひと通り武器の
操作を覚えたら、肩慣らしに
いっちょ戦ってみるがいい！
青い鱗を目印に探すのだぞ！",
0x161a20@mhfinf.bin,"≪Hunter Basics≫
Secret Wyvern Heavy Bowgun<join at=""1448484"">5 Velociprey<join at=""1448488"">None<join at=""1448492"">None<join at=""1448496"">Achieve Main Objective<join at=""1448500"">Zero Rewards
Time Runs out<join at=""1448504"">教官<join at=""1448508"">我輩だ。教官だ！
このクエストでは、クリアの
条件がランポス５頭の討伐と
なっている。ひと通り武器の
操作を覚えたら、肩慣らしに
いっちょ戦ってみるがいい！
青い鱗を目印に探すのだぞ！",
